"","OTU","Size","Phylum","Class","Order","Family","Genus"
"Otu0337","Otu0337",1909,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0338","Otu0338",1894,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0339","Otu0339",1878,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera"
"Otu0340","Otu0340",1854,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0341","Otu0341",1852,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae_unclassified"
"Otu0342","Otu0342",1832,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0343","Otu0343",1830,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes"
"Otu0344","Otu0344",1823,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0345","Otu0345",1806,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Parvimonas"
"Otu0346","Otu0346",1793,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0347","Otu0347",1766,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mediterraneibacter"
"Otu0348","Otu0348",1750,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0349","Otu0349",1748,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella"
"Otu0350","Otu0350",1747,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0351","Otu0351",1721,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0352","Otu0352",1719,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola"
"Otu0353","Otu0353",1718,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0354","Otu0354",1701,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerobutyricum"
"Otu0355","Otu0355",1678,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dielma"
"Otu0356","Otu0356",1675,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0357","Otu0357",1662,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia"
"Otu0358","Otu0358",1658,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified"
"Otu0359","Otu0359",1631,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0360","Otu0360",1621,"Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Fannyhessea"
"Otu0361","Otu0361",1595,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0362","Otu0362",1590,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Parvimonas"
"Otu0363","Otu0363",1582,"Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter"
"Otu0364","Otu0364",1574,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0365","Otu0365",1564,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes"
"Otu0366","Otu0366",1560,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0367","Otu0367",1518,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fastidiosipila"
"Otu0368","Otu0368",1497,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0369","Otu0369",1497,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu0370","Otu0370",1461,"Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia"
"Otu0371","Otu0371",1449,"Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"Otu0372","Otu0372",1427,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
