"","OTU","Size","Phylum","Class","Order","Family","Genus"
"Otu0512","Otu0512",619,"Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura"
"Otu0513","Otu0513",619,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea"
"Otu0514","Otu0514",618,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0515","Otu0515",617,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0516","Otu0516",617,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Otu0517","Otu0517",615,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas"
"Otu0518","Otu0518",609,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu0519","Otu0519",598,"Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"Otu0520","Otu0520",598,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0521","Otu0521",597,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0522","Otu0522",597,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc"
"Otu0523","Otu0523",594,"Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter"
"Otu0524","Otu0524",591,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Otu0525","Otu0525",586,"Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillaceae_1_unclassified"
"Otu0526","Otu0526",577,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthellaceae_unclassified"
"Otu0527","Otu0527",574,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"Otu0528","Otu0528",573,"Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"Otu0529","Otu0529",569,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0530","Otu0530",565,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0531","Otu0531",561,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0532","Otu0532",561,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fournierella"
"Otu0533","Otu0533",560,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0534","Otu0534",552,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0535","Otu0535",551,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0536","Otu0536",550,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0537","Otu0537",548,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Helcococcus"
"Otu0538","Otu0538",546,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Intrasporangiaceae_unclassified"
"Otu0539","Otu0539",545,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0540","Otu0540",544,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia"
"Otu0541","Otu0541",543,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides"
"Otu0542","Otu0542",542,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Otu0543","Otu0543",541,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu0544","Otu0544",537,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacteriaceae_unclassified"
"Otu0545","Otu0545",532,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides"
"Otu0546","Otu0546",532,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Otu0547","Otu0547",532,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0548","Otu0548",528,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"Otu0549","Otu0549",528,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0550","Otu0550",527,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellamassilia"
"Otu0551","Otu0551",527,"Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"Otu0552","Otu0552",519,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0553","Otu0553",519,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylorubrum"
"Otu0554","Otu0554",518,"Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas"
"Otu0555","Otu0555",518,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Falsiporphyromonas"
"Otu0556","Otu0556",517,"Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
"Otu0557","Otu0557",517,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0558","Otu0558",516,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola"
"Otu0559","Otu0559",516,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"Otu0560","Otu0560",514,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Otu0561","Otu0561",513,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0562","Otu0562",513,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longibaculum"
"Otu0563","Otu0563",512,"Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"Otu0564","Otu0564",506,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0565","Otu0565",504,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Raoultibacter"
"Otu0566","Otu0566",503,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0567","Otu0567",503,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Phocea"
"Otu0568","Otu0568",492,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0569","Otu0569",487,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0570","Otu0570",485,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella"
"Otu0571","Otu0571",484,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"Otu0572","Otu0572",483,"Firmicutes","Clostridia","Clostridia_unclassified","Clostridia_unclassified","Clostridia_unclassified"
"Otu0573","Otu0573",479,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Otu0574","Otu0574",479,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Peptoniphilus"
"Otu0575","Otu0575",478,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu0576","Otu0576",477,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0577","Otu0577",473,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Schaedlerella"
"Otu0579","Otu0579",465,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0580","Otu0580",464,"Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter"
"Otu0581","Otu0581",464,"Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"Otu0582","Otu0582",463,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu0583","Otu0583",463,"Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillaceae_1_unclassified"
"Otu0584","Otu0584",457,"Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Duodenibacillus"
"Otu0585","Otu0585",456,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Clostridiales_Incertae_Sedis_XIII_unclassified"
"Otu0586","Otu0586",455,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0587","Otu0587",455,"Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Dermabacter"
"Otu0588","Otu0588",452,"Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Otu0589","Otu0589",451,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0590","Otu0590",449,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides"
"Otu0591","Otu0591",446,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0592","Otu0592",444,"Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae_unclassified"
"Otu0593","Otu0593",442,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Enterocloster"
"Otu0594","Otu0594",440,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0595","Otu0595",440,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia"
"Otu0596","Otu0596",439,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0597","Otu0597",438,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified"
"Otu0598","Otu0598",438,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0599","Otu0599",437,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0600","Otu0600",431,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0601","Otu0601",430,"Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"Otu0602","Otu0602",430,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Peptoniphilus"
"Otu0603","Otu0603",430,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0604","Otu0604",424,"Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella"
"Otu0605","Otu0605",421,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Otu0606","Otu0606",420,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Ezakiella"
"Otu0607","Otu0607",419,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0608","Otu0608",418,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae_unclassified"
"Otu0609","Otu0609",414,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0610","Otu0610",414,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0611","Otu0611",412,"Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella"
"Otu0612","Otu0612",410,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0613","Otu0613",410,"Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"Otu0614","Otu0614",406,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0615","Otu0615",406,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flintibacter"
"Otu0616","Otu0616",405,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium"
"Otu0617","Otu0617",402,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0618","Otu0618",399,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0619","Otu0619",398,"Acidobacteria","Acidobacteria_Gp6","Gp6","Gp6_unclassified","Gp6_unclassified"
"Otu0620","Otu0620",396,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified"
"Otu0621","Otu0621",394,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0622","Otu0622",394,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0623","Otu0623",387,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0624","Otu0624",387,"Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurellaceae_unclassified"
"Otu0625","Otu0625",386,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Gulosibacter"
"Otu0626","Otu0626",385,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified"
"Otu0627","Otu0627",380,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0628","Otu0628",377,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0629","Otu0629",377,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0631","Otu0631",373,"Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio"
"Otu0632","Otu0632",369,"Actinobacteria","Actinobacteria","Mycobacteriales","Lawsonellaceae","Lawsonella"
"Otu0633","Otu0633",368,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0634","Otu0634",365,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu0635","Otu0635",361,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0636","Otu0636",360,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0637","Otu0637",358,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum"
"Otu0638","Otu0638",357,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu0639","Otu0639",357,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Weeksella"
"Otu0640","Otu0640",355,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0641","Otu0641",355,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Sarcina"
"Otu0642","Otu0642",353,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0643","Otu0643",352,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0644","Otu0644",351,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera"
"Otu0645","Otu0645",349,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0646","Otu0646",347,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Anaerococcus"
"Otu0647","Otu0647",345,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0648","Otu0648",344,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0649","Otu0649",343,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVb"
"Otu0650","Otu0650",341,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0651","Otu0651",341,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0652","Otu0652",334,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0653","Otu0653",332,"Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"Otu0654","Otu0654",332,"Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonadaceae_unclassified"
"Otu0655","Otu0655",331,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0656","Otu0656",331,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0657","Otu0657",330,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu0658","Otu0658",330,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0659","Otu0659",330,"Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"Otu0660","Otu0660",328,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu0661","Otu0661",328,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0662","Otu0662",326,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Cryobacterium"
"Otu0663","Otu0663",326,"Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"Otu0664","Otu0664",325,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0665","Otu0665",324,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Dysosmobacter"
"Otu0667","Otu0667",320,"Actinobacteria","Actinobacteria","Actinobacteria_unclassified","Actinobacteria_unclassified","Actinobacteria_unclassified"
"Otu0668","Otu0668",319,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0669","Otu0669",317,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Hydrogeniiclostridium"
"Otu0670","Otu0670",316,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum"
"Otu0671","Otu0671",315,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0672","Otu0672",315,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0673","Otu0673",313,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0674","Otu0674",313,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides"
"Otu0675","Otu0675",311,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0676","Otu0676",311,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Peptoniphilus"
"Otu0677","Otu0677",309,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0678","Otu0678",309,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Gleimia"
"Otu0680","Otu0680",305,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0681","Otu0681",303,"Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"Otu0682","Otu0682",303,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0683","Otu0683",303,"Actinobacteria","Actinobacteria","Actinobacteria_unclassified","Actinobacteria_unclassified","Actinobacteria_unclassified"
"Otu0684","Otu0684",302,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified"
"Otu0685","Otu0685",299,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lactonifactor"
"Otu0686","Otu0686",299,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus"
"Otu0687","Otu0687",298,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0688","Otu0688",297,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0689","Otu0689",296,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobiaceae_unclassified"
"Otu0690","Otu0690",295,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0691","Otu0691",295,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus2"
"Otu0692","Otu0692",295,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Stomatobaculum"
"Otu0693","Otu0693",294,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter"
"Otu0694","Otu0694",294,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0695","Otu0695",294,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroidaceae_unclassified"
"Otu0697","Otu0697",290,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0698","Otu0698",290,"Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillaceae_1_unclassified"
"Otu0699","Otu0699",285,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0700","Otu0700",285,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0701","Otu0701",283,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonellaceae_unclassified"
"Otu0702","Otu0702",282,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Mogibacterium"
"Otu0703","Otu0703",282,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella"
"Otu0704","Otu0704",282,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0705","Otu0705",281,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0706","Otu0706",281,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0707","Otu0707",278,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0708","Otu0708",278,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0709","Otu0709",277,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0710","Otu0710",277,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Otu0711","Otu0711",276,"Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"Otu0712","Otu0712",276,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0713","Otu0713",274,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0715","Otu0715",273,"Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacteraceae_unclassified"
"Otu0716","Otu0716",272,"Firmicutes","Clostridia","Clostridiales","Peptococcaceae_1","Peptococcus"
"Otu0717","Otu0717",268,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0718","Otu0718",267,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0719","Otu0719",267,"Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira"
"Otu0720","Otu0720",266,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0721","Otu0721",265,"Parcubacteria","Parcubacteria_unclassified","Parcubacteria_unclassified","Parcubacteria_unclassified","Parcubacteria_unclassified"
"Otu0722","Otu0722",264,"Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Duodenibacillus"
"Otu0724","Otu0724",262,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_IV"
"Otu0725","Otu0725",261,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Anaerococcus"
"Otu0726","Otu0726",261,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0727","Otu0727",260,"Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"Otu0728","Otu0728",259,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0729","Otu0729",258,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu0731","Otu0731",256,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0732","Otu0732",256,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides"
"Otu0734","Otu0734",253,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0735","Otu0735",253,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthellaceae_unclassified"
"Otu0737","Otu0737",249,"Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus"
"Otu0738","Otu0738",249,"Actinobacteria","Actinobacteria","Mycobacteriales","Nocardiaceae","Rhodococcus"
"Otu0739","Otu0739",247,"Actinobacteria","Actinobacteria_unclassified","Actinobacteria_unclassified","Actinobacteria_unclassified","Actinobacteria_unclassified"
"Otu0740","Otu0740",244,"Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillaceae_1_unclassified"
"Otu0741","Otu0741",244,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Murimonas"
"Otu0742","Otu0742",241,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu0744","Otu0744",235,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella"
"Otu0745","Otu0745",234,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0746","Otu0746",233,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus"
"Otu0747","Otu0747",233,"Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
